customer_id,loyalty_tier
CUST-00001,Bronze
CUST-00002,Silver
CUST-00003,Bronze
CUST-00004,Bronze
CUST-00005,Bronze
CUST-00006,Bronze
CUST-00007,Bronze
CUST-00008,Bronze
CUST-00009,Bronze
CUST-00010,Bronze
CUST-00011,Bronze
CUST-00012,Bronze
CUST-00013,Bronze
CUST-00014,Bronze
CUST-00015,Bronze
CUST-00016,Bronze
CUST-00017,Bronze
CUST-00018,Bronze
CUST-00019,Bronze
CUST-00020,Bronze
CUST-00021,Bronze
CUST-00022,Bronze
CUST-00023,Bronze
CUST-00024,Bronze
CUST-00025,Bronze
CUST-00026,Bronze
CUST-00027,Bronze
CUST-00028,Bronze
CUST-00029,Bronze
CUST-00030,Bronze
CUST-00031,Bronze
CUST-00032,Bronze
CUST-00033,Bronze
CUST-00034,Bronze
CUST-00035,Bronze
CUST-00036,Bronze
CUST-00037,Bronze
CUST-00038,Bronze
CUST-00039,Bronze
CUST-00040,Silver
CUST-00041,Bronze
CUST-00042,Bronze
CUST-00043,Bronze
CUST-00044,Silver
CUST-00045,Bronze
CUST-00046,Bronze
CUST-00047,Silver
CUST-00048,Silver
CUST-00049,Silver
CUST-00050,Bronze
CUST-00051,Bronze
CUST-00052,Bronze
CUST-00053,Bronze
CUST-00054,Bronze
CUST-00055,Bronze
CUST-00056,Silver
CUST-00057,Bronze
CUST-00058,Bronze
CUST-00059,Bronze
CUST-00060,Silver
CUST-00061,Bronze
CUST-00062,Bronze
CUST-00063,Silver
CUST-00064,Silver
CUST-00065,Bronze
CUST-00066,Bronze
CUST-00067,Gold
CUST-00068,Silver
CUST-00069,Silver
CUST-00070,Silver
CUST-00071,Bronze
CUST-00072,Bronze
CUST-00073,Bronze
CUST-00074,Silver
CUST-00075,Bronze
CUST-00076,Gold
CUST-00077,Bronze
CUST-00078,Bronze
CUST-00079,Bronze
CUST-00080,Bronze
CUST-00081,Silver
CUST-00082,Bronze
CUST-00083,Silver
CUST-00084,Bronze
CUST-00085,Bronze
CUST-00086,Silver
CUST-00087,Silver
CUST-00088,Silver
CUST-00089,Bronze
CUST-00090,Bronze
CUST-00091,Silver
CUST-00092,Bronze
CUST-00093,Bronze
CUST-00094,Bronze
CUST-00095,Bronze
CUST-00096,Bronze
CUST-00097,Bronze
CUST-00098,Bronze
CUST-00099,Bronze
CUST-00100,Silver
CUST-00101,Bronze
CUST-00102,Bronze
CUST-00103,Bronze
CUST-00104,Bronze
CUST-00105,Bronze
CUST-00106,Bronze
CUST-00107,Bronze
CUST-00108,Bronze
CUST-00109,Bronze
CUST-00110,Bronze
CUST-00111,Bronze
CUST-00112,Bronze
CUST-00113,Bronze
CUST-00114,Silver
CUST-00115,Silver
CUST-00116,Bronze
CUST-00117,Bronze
CUST-00118,Bronze
CUST-00119,Bronze
CUST-00120,Bronze
CUST-00121,Bronze
CUST-00122,Silver
CUST-00123,Silver
CUST-00124,Bronze
CUST-00125,Bronze
CUST-00126,Bronze
CUST-00127,Silver
CUST-00128,Gold
CUST-00129,Bronze
CUST-00130,Silver
CUST-00131,Silver
CUST-00132,Bronze
CUST-00133,Bronze
CUST-00134,Bronze
CUST-00135,Bronze
CUST-00136,Bronze
CUST-00137,Bronze
CUST-00138,Bronze
CUST-00139,Silver
CUST-00140,Bronze
CUST-00141,Bronze
CUST-00142,Bronze
CUST-00143,Bronze
CUST-00144,Silver
CUST-00145,Bronze
CUST-00146,Bronze
CUST-00147,Silver
CUST-00148,Bronze
CUST-00149,Bronze
CUST-00150,Bronze
CUST-00151,Bronze
CUST-00152,Bronze
CUST-00153,Bronze
CUST-00154,Silver
CUST-00155,Bronze
CUST-00156,Bronze
CUST-00157,Silver
CUST-00158,Bronze
CUST-00159,Bronze
CUST-00160,Silver
CUST-00161,Bronze
CUST-00162,Bronze
CUST-00163,Bronze
CUST-00164,Silver
CUST-00165,Silver
CUST-00166,Silver
CUST-00167,Bronze
CUST-00168,Bronze
CUST-00169,Bronze
CUST-00170,Bronze
CUST-00171,Bronze
CUST-00172,Bronze
CUST-00173,Bronze
CUST-00174,Silver
CUST-00175,Bronze
CUST-00176,Bronze
CUST-00177,Silver
CUST-00178,Silver
CUST-00179,Bronze
CUST-00180,Silver
CUST-00181,Silver
CUST-00182,Bronze
CUST-00183,Bronze
CUST-00184,Bronze
CUST-00185,Bronze
CUST-00186,Bronze
CUST-00187,Bronze
CUST-00188,Bronze
CUST-00189,Bronze
CUST-00190,Bronze
CUST-00191,Bronze
CUST-00192,Bronze
CUST-00193,Bronze
CUST-00194,Silver
CUST-00195,Bronze
CUST-00196,Bronze
CUST-00197,Bronze
CUST-00198,Bronze
CUST-00199,Bronze
CUST-00200,Bronze
CUST-00201,Bronze
CUST-00202,Bronze
CUST-00203,Bronze
CUST-00204,Bronze
CUST-00205,Bronze
CUST-00206,Bronze
CUST-00207,Gold
CUST-00208,Bronze
CUST-00209,Bronze
CUST-00210,Silver
CUST-00211,Bronze
CUST-00212,Bronze
CUST-00213,Bronze
CUST-00214,Bronze
CUST-00215,Bronze
CUST-00216,Bronze
CUST-00217,Bronze
CUST-00218,Bronze
CUST-00219,Bronze
CUST-00220,Bronze
CUST-00221,Bronze
CUST-00222,Bronze
CUST-00223,Bronze
CUST-00224,Bronze
CUST-00225,Silver
CUST-00226,Bronze
CUST-00227,Bronze
CUST-00228,Bronze
CUST-00229,Bronze
CUST-00230,Bronze
CUST-00231,Bronze
CUST-00232,Bronze
CUST-00233,Bronze
CUST-00234,Bronze
CUST-00235,Bronze
CUST-00236,Bronze
CUST-00237,Silver
CUST-00238,Bronze
CUST-00239,Bronze
CUST-00240,Bronze
CUST-00241,Bronze
CUST-00242,Bronze
CUST-00243,Silver
CUST-00244,Bronze
CUST-00245,Bronze
CUST-00246,Bronze
CUST-00247,Bronze
CUST-00248,Bronze
CUST-00249,Bronze
CUST-00250,Bronze
CUST-00251,Bronze
CUST-00252,Silver
CUST-00253,Bronze
CUST-00254,Silver
CUST-00255,Gold
CUST-00256,Bronze
CUST-00257,Bronze
CUST-00258,Bronze
CUST-00259,Bronze
CUST-00260,Bronze
CUST-00261,Silver
CUST-00262,Bronze
CUST-00263,Bronze
CUST-00264,Bronze
CUST-00265,Silver
CUST-00266,Silver
CUST-00267,Bronze
CUST-00268,Silver
CUST-00269,Bronze
CUST-00270,Bronze
CUST-00271,Bronze
CUST-00272,Bronze
CUST-00273,Bronze
CUST-00274,Bronze
CUST-00275,Bronze
CUST-00276,Bronze
CUST-00277,Bronze
CUST-00278,Bronze
CUST-00279,Bronze
CUST-00280,Gold
CUST-00281,Bronze
CUST-00282,Silver
CUST-00283,Gold
CUST-00284,Bronze
CUST-00285,Silver
CUST-00286,Silver
CUST-00287,Silver
CUST-00288,Bronze
CUST-00289,Bronze
CUST-00290,Bronze
CUST-00291,Silver
CUST-00292,Bronze
CUST-00293,Bronze
CUST-00294,Bronze
CUST-00295,Bronze
CUST-00296,Bronze
CUST-00297,Bronze
CUST-00298,Silver
CUST-00299,Bronze
CUST-00300,Bronze
CUST-00301,Bronze
CUST-00302,Bronze
CUST-00303,Bronze
CUST-00304,Gold
CUST-00305,Bronze
CUST-00306,Silver
CUST-00307,Silver
CUST-00308,Bronze
CUST-00309,Bronze
CUST-00310,Bronze
CUST-00311,Bronze
CUST-00312,Bronze
CUST-00313,Bronze
CUST-00314,Bronze
CUST-00315,Bronze
CUST-00316,Bronze
CUST-00317,Bronze
CUST-00318,Silver
CUST-00319,Bronze
CUST-00320,Bronze
CUST-00321,Bronze
CUST-00322,Bronze
CUST-00323,Bronze
CUST-00324,Bronze
CUST-00325,Silver
CUST-00326,Bronze
CUST-00327,Bronze
CUST-00328,Silver
CUST-00329,Bronze
CUST-00330,Silver
CUST-00331,Bronze
CUST-00332,Bronze
CUST-00333,Bronze
CUST-00334,Silver
CUST-00335,Bronze
CUST-00336,Bronze
CUST-00337,Silver
CUST-00338,Bronze
CUST-00339,Silver
CUST-00340,Bronze
CUST-00341,Bronze
CUST-00342,Silver
CUST-00343,Bronze
CUST-00344,Bronze
CUST-00345,Bronze
CUST-00346,Bronze
CUST-00347,Bronze
CUST-00348,Bronze
CUST-00349,Bronze
CUST-00350,Silver
CUST-00351,Silver
CUST-00352,Bronze
CUST-00353,Bronze
CUST-00354,Bronze
CUST-00355,Bronze
CUST-00356,Silver
CUST-00357,Bronze
CUST-00358,Bronze
CUST-00359,Bronze
CUST-00360,Bronze
CUST-00361,Bronze
CUST-00362,Bronze
CUST-00363,Bronze
CUST-00364,Silver
CUST-00365,Bronze
CUST-00366,Silver
CUST-00367,Bronze
CUST-00368,Bronze
CUST-00369,Bronze
CUST-00370,Bronze
CUST-00371,Bronze
CUST-00372,Bronze
CUST-00373,Bronze
CUST-00374,Silver
CUST-00375,Silver
CUST-00376,Bronze
CUST-00377,Bronze
CUST-00378,Bronze
CUST-00379,Silver
CUST-00380,Silver
CUST-00381,Bronze
CUST-00382,Silver
CUST-00383,Bronze
CUST-00384,Bronze
CUST-00385,Bronze
CUST-00386,Bronze
CUST-00387,Silver
CUST-00388,Bronze
CUST-00389,Bronze
CUST-00390,Bronze
CUST-00391,Bronze
CUST-00392,Bronze
CUST-00393,Bronze
CUST-00394,Bronze
CUST-00395,Bronze
CUST-00396,Bronze
CUST-00397,Bronze
CUST-00398,Bronze
CUST-00399,Silver
CUST-00400,Bronze
CUST-00401,Bronze
CUST-00402,Bronze
CUST-00403,Bronze
CUST-00404,Bronze
CUST-00405,Bronze
CUST-00406,Silver
CUST-00407,Bronze
CUST-00408,Bronze
CUST-00409,Silver
CUST-00410,Bronze
CUST-00411,Silver
CUST-00412,Bronze
CUST-00413,Bronze
CUST-00414,Bronze
CUST-00415,Bronze
CUST-00416,Bronze
CUST-00417,Bronze
CUST-00418,Bronze
CUST-00419,Bronze
CUST-00420,Bronze
CUST-00421,Bronze
CUST-00422,Silver
CUST-00423,Bronze
CUST-00424,Bronze
CUST-00425,Bronze
CUST-00426,Bronze
CUST-00427,Bronze
CUST-00428,Silver
CUST-00429,Bronze
CUST-00430,Bronze
CUST-00431,Bronze
CUST-00432,Bronze
CUST-00433,Silver
CUST-00434,Bronze
CUST-00435,Bronze
CUST-00436,Bronze
CUST-00437,Silver
CUST-00438,Bronze
CUST-00439,Bronze
CUST-00440,Silver
CUST-00441,Bronze
CUST-00442,Bronze
CUST-00443,Bronze
CUST-00444,Bronze
CUST-00445,Bronze
CUST-00446,Bronze
CUST-00447,Silver
CUST-00448,Bronze
CUST-00449,Silver
CUST-00450,Bronze
CUST-00451,Bronze
CUST-00452,Bronze
CUST-00453,Bronze
CUST-00454,Silver
CUST-00455,Bronze
CUST-00456,Bronze
CUST-00457,Silver
CUST-00458,Silver
CUST-00459,Bronze
CUST-00460,Bronze
CUST-00461,Bronze
CUST-00462,Silver
CUST-00463,Bronze
CUST-00464,Bronze
CUST-00465,Bronze
CUST-00466,Bronze
CUST-00467,Bronze
CUST-00468,Bronze
CUST-00469,Silver
CUST-00470,Bronze
CUST-00471,Bronze
CUST-00472,Bronze
CUST-00473,Bronze
CUST-00474,Bronze
CUST-00475,Gold
CUST-00476,Bronze
CUST-00477,Bronze
CUST-00478,Bronze
CUST-00479,Bronze
CUST-00480,Bronze
CUST-00481,Bronze
CUST-00482,Bronze
CUST-00483,Bronze
CUST-00484,Silver
CUST-00485,Bronze
CUST-00486,Bronze
CUST-00487,Bronze
CUST-00488,Bronze
CUST-00489,Gold
CUST-00490,Bronze
CUST-00491,Silver
CUST-00492,Bronze
CUST-00493,Bronze
CUST-00494,Bronze
CUST-00495,Bronze
CUST-00496,Silver
CUST-00497,Silver
CUST-00498,Bronze
CUST-00499,Bronze
CUST-00500,Bronze
CUST-00501,Bronze
CUST-00502,Bronze
CUST-00503,Gold
CUST-00504,Gold
CUST-00505,Bronze
CUST-00506,Bronze
CUST-00507,Bronze
CUST-00508,Silver
CUST-00509,Bronze
CUST-00510,Silver
CUST-00511,Bronze
CUST-00512,Bronze
CUST-00513,Silver
CUST-00514,Bronze
CUST-00515,Bronze
CUST-00516,Bronze
CUST-00517,Bronze
CUST-00518,Bronze
CUST-00519,Silver
CUST-00520,Bronze
CUST-00521,Bronze
CUST-00522,Bronze
CUST-00523,Bronze
CUST-00524,Bronze
CUST-00525,Bronze
CUST-00526,Bronze
CUST-00527,Bronze
CUST-00528,Silver
CUST-00529,Bronze
CUST-00530,Bronze
CUST-00531,Bronze
CUST-00532,Bronze
CUST-00533,Silver
CUST-00534,Silver
CUST-00535,Bronze
CUST-00536,Bronze
CUST-00537,Bronze
CUST-00538,Silver
CUST-00539,Bronze
CUST-00540,Bronze
CUST-00541,Bronze
CUST-00542,Bronze
CUST-00543,Bronze
CUST-00544,Bronze
CUST-00545,Bronze
CUST-00546,Silver
CUST-00547,Bronze
CUST-00548,Bronze
CUST-00549,Silver
CUST-00550,Silver
CUST-00551,Bronze
CUST-00552,Bronze
CUST-00553,Bronze
CUST-00554,Bronze
CUST-00555,Bronze
CUST-00556,Bronze
CUST-00557,Bronze
CUST-00558,Silver
CUST-00559,Bronze
CUST-00560,Silver
CUST-00561,Bronze
CUST-00562,Silver
CUST-00563,Silver
