transaction_id,date,store_id,product_id,customer_id,quantity,net_revenue
TXN-000001,2024-01-01,S001,P0002,CUST-00501,1,95.04
TXN-000002,2024-01-01,S001,P0003,CUST-01966,1,630.99
TXN-000003,2024-01-01,S001,P0005,CUST-01990,3,1471.29
TXN-000004,2024-01-01,S001,P0006,CUST-00692,1,479.2
TXN-000005,2024-01-01,S001,P0008,CUST-01458,1,453.51
TXN-000006,2024-01-01,S001,P0010,CUST-01287,1,413.1
TXN-000007,2024-01-01,S002,P0001,CUST-00412,2,540.6
TXN-000008,2024-01-01,S002,P0002,CUST-01615,1,95.04
TXN-000009,2024-01-01,S002,P0004,CUST-00514,1,312.32
TXN-000010,2024-01-01,S002,P0005,CUST-01735,1,490.43
TXN-000011,2024-01-01,S002,P0006,CUST-01628,1,479.2
TXN-000012,2024-01-01,S002,P0007,CUST-00629,4,2925.52
TXN-000013,2024-01-01,S002,P0008,CUST-00434,2,907.02
TXN-000014,2024-01-01,S002,P0009,CUST-00686,2,943.34
TXN-000015,2024-01-01,S002,P0010,CUST-00142,2,826.2
TXN-000016,2024-01-01,S003,P0001,CUST-00018,1,270.3
TXN-000017,2024-01-01,S003,P0002,CUST-00827,2,190.08
TXN-000018,2024-01-01,S003,P0003,CUST-01645,1,630.99
TXN-000019,2024-01-01,S003,P0004,CUST-01901,1,312.32
TXN-000020,2024-01-01,S003,P0005,CUST-01652,2,980.86
TXN-000021,2024-01-01,S003,P0007,CUST-00587,2,1462.76
TXN-000022,2024-01-01,S003,P0008,CUST-00976,2,907.02
TXN-000023,2024-01-01,S003,P0009,CUST-00486,2,943.34
TXN-000024,2024-01-01,S003,P0010,CUST-01046,1,413.1
TXN-000025,2024-01-01,S004,P0001,CUST-01360,4,1081.2
TXN-000026,2024-01-01,S004,P0002,CUST-00167,2,190.08
TXN-000027,2024-01-01,S004,P0003,CUST-01148,2,1261.98
TXN-000028,2024-01-01,S004,P0004,CUST-00115,1,312.32
TXN-000029,2024-01-01,S004,P0005,CUST-00027,2,980.86
TXN-000030,2024-01-01,S004,P0006,CUST-01186,1,479.2
TXN-000031,2024-01-01,S004,P0008,CUST-00586,2,907.02
TXN-000032,2024-01-01,S004,P0009,CUST-00305,4,1886.68
TXN-000033,2024-01-01,S004,P0010,CUST-00130,2,826.2
TXN-000034,2024-01-01,S005,P0002,CUST-00809,1,95.04
TXN-000035,2024-01-01,S005,P0003,CUST-01295,1,630.99
TXN-000036,2024-01-01,S005,P0004,CUST-01039,1,312.32
TXN-000037,2024-01-01,S005,P0005,CUST-01700,3,1471.29
TXN-000038,2024-01-01,S005,P0006,CUST-01904,1,479.2
TXN-000039,2024-01-01,S005,P0007,CUST-00837,2,1462.76
TXN-000040,2024-01-01,S005,P0009,CUST-00589,1,471.67
TXN-000041,2024-01-01,S005,P0010,CUST-00972,1,413.1
TXN-000042,2024-01-02,S001,P0001,CUST-00252,1,270.3
TXN-000043,2024-01-02,S001,P0002,CUST-00653,1,95.04
TXN-000044,2024-01-02,S001,P0005,CUST-00088,5,2452.15
TXN-000045,2024-01-02,S001,P0006,CUST-01595,2,958.4
TXN-000046,2024-01-02,S001,P0007,CUST-01798,1,731.38
TXN-000047,2024-01-02,S001,P0008,CUST-00409,3,1360.53
TXN-000048,2024-01-02,S001,P0009,CUST-00655,2,943.34
TXN-000049,2024-01-02,S002,P0001,CUST-01970,3,810.9000000000001
TXN-000050,2024-01-02,S002,P0003,CUST-01316,1,630.99
TXN-000051,2024-01-02,S002,P0004,CUST-00038,1,312.32
TXN-000052,2024-01-02,S002,P0005,CUST-00964,3,1471.29
TXN-000053,2024-01-02,S002,P0006,CUST-01786,1,479.2
TXN-000054,2024-01-02,S002,P0007,CUST-00408,3,2194.14
TXN-000055,2024-01-02,S002,P0009,CUST-01330,1,471.67
TXN-000056,2024-01-02,S003,P0002,CUST-01819,3,285.12
TXN-000057,2024-01-02,S003,P0003,CUST-00949,1,630.99
TXN-000058,2024-01-02,S003,P0004,CUST-00001,1,312.32
TXN-000059,2024-01-02,S003,P0005,CUST-01142,2,980.86
TXN-000060,2024-01-02,S003,P0006,CUST-01641,1,479.2
TXN-000061,2024-01-02,S003,P0007,CUST-01613,4,2925.52
TXN-000062,2024-01-02,S003,P0008,CUST-00692,2,907.02
TXN-000063,2024-01-02,S003,P0009,CUST-00445,1,471.67
TXN-000064,2024-01-02,S003,P0010,CUST-01595,3,1239.3000000000002
TXN-000065,2024-01-02,S004,P0001,CUST-01891,3,810.9000000000001
TXN-000066,2024-01-02,S004,P0002,CUST-00519,2,190.08
TXN-000067,2024-01-02,S004,P0003,CUST-01053,1,630.99
TXN-000068,2024-01-02,S004,P0004,CUST-01317,1,312.32
TXN-000069,2024-01-02,S004,P0005,CUST-01580,2,980.86
TXN-000070,2024-01-02,S004,P0008,CUST-00425,1,453.51
TXN-000071,2024-01-02,S004,P0009,CUST-01539,2,943.34
TXN-000072,2024-01-02,S004,P0010,CUST-01538,1,413.1
TXN-000073,2024-01-02,S005,P0002,CUST-01100,3,285.12
TXN-000074,2024-01-02,S005,P0004,CUST-01013,4,1249.28
TXN-000075,2024-01-02,S005,P0005,CUST-00365,2,980.86
TXN-000076,2024-01-02,S005,P0007,CUST-01982,2,1462.76
TXN-000077,2024-01-02,S005,P0009,CUST-00592,4,1886.68
TXN-000078,2024-01-02,S005,P0010,CUST-01758,2,826.2
TXN-000079,2024-01-03,S001,P0002,CUST-00637,1,95.04
TXN-000080,2024-01-03,S001,P0004,CUST-00211,2,624.64
TXN-000081,2024-01-03,S001,P0005,CUST-01971,1,490.43
TXN-000082,2024-01-03,S001,P0006,CUST-00708,1,479.2
TXN-000083,2024-01-03,S001,P0007,CUST-01159,1,731.38
TXN-000084,2024-01-03,S001,P0008,CUST-00615,2,907.02
TXN-000085,2024-01-03,S001,P0009,CUST-00003,1,471.67
TXN-000086,2024-01-03,S001,P0010,CUST-01603,5,2065.5
TXN-000087,2024-01-03,S002,P0001,CUST-00090,1,270.3
TXN-000088,2024-01-03,S002,P0002,CUST-00850,3,285.12
TXN-000089,2024-01-03,S002,P0005,CUST-01723,3,1471.29
TXN-000090,2024-01-03,S002,P0006,CUST-00525,2,958.4
TXN-000091,2024-01-03,S002,P0007,CUST-00491,1,731.38
TXN-000092,2024-01-03,S002,P0008,CUST-01615,3,1360.53
TXN-000093,2024-01-03,S002,P0009,CUST-00260,5,2358.35
TXN-000094,2024-01-03,S002,P0010,CUST-00830,2,826.2
TXN-000095,2024-01-03,S003,P0003,CUST-00969,1,630.99
TXN-000096,2024-01-03,S003,P0005,CUST-00400,2,980.86
TXN-000097,2024-01-03,S003,P0006,CUST-01493,1,479.2
TXN-000098,2024-01-03,S003,P0007,CUST-00720,1,731.38
TXN-000099,2024-01-03,S003,P0009,CUST-00885,2,943.34
TXN-000100,2024-01-03,S003,P0010,CUST-01431,1,413.1
TXN-000101,2024-01-03,S004,P0001,CUST-01258,1,270.3
TXN-000102,2024-01-03,S004,P0002,CUST-01059,2,190.08
TXN-000103,2024-01-03,S004,P0003,CUST-00702,2,1261.98
TXN-000104,2024-01-03,S004,P0004,CUST-00598,1,312.32
TXN-000105,2024-01-03,S004,P0005,CUST-00449,1,490.43
TXN-000106,2024-01-03,S004,P0006,CUST-01088,1,479.2
TXN-000107,2024-01-03,S004,P0008,CUST-00144,1,453.51
TXN-000108,2024-01-03,S004,P0009,CUST-00816,3,1415.01
TXN-000109,2024-01-03,S004,P0010,CUST-01805,3,1239.3000000000002
TXN-000110,2024-01-03,S005,P0002,CUST-00476,1,95.04
TXN-000111,2024-01-03,S005,P0003,CUST-01615,1,630.99
TXN-000112,2024-01-03,S005,P0004,CUST-01173,1,312.32
TXN-000113,2024-01-03,S005,P0005,CUST-00154,1,490.43
TXN-000114,2024-01-03,S005,P0008,CUST-00609,3,1360.53
TXN-000115,2024-01-03,S005,P0009,CUST-00996,1,471.67
TXN-000116,2024-01-03,S005,P0010,CUST-00173,3,1239.3000000000002
TXN-000117,2024-01-04,S001,P0001,CUST-01485,3,810.9000000000001
TXN-000118,2024-01-04,S001,P0002,CUST-01730,3,285.12
TXN-000119,2024-01-04,S001,P0003,CUST-01609,1,630.99
TXN-000120,2024-01-04,S001,P0005,CUST-00011,2,980.86
TXN-000121,2024-01-04,S001,P0006,CUST-00128,3,1437.6
TXN-000122,2024-01-04,S001,P0008,CUST-00497,2,907.02
TXN-000123,2024-01-04,S001,P0009,CUST-00850,3,1415.01
TXN-000124,2024-01-04,S001,P0010,CUST-00125,2,826.2
TXN-000125,2024-01-04,S002,P0001,CUST-01618,2,540.6
TXN-000126,2024-01-04,S002,P0002,CUST-01397,3,285.12
