table,column,dtype
olist_customers_dataset,customer_id,str
olist_customers_dataset,customer_unique_id,str
olist_customers_dataset,customer_zip_code_prefix,int64
olist_customers_dataset,customer_city,str
olist_customers_dataset,customer_state,str
olist_geolocation_dataset,geolocation_zip_code_prefix,int64
olist_geolocation_dataset,geolocation_lat,float64
olist_geolocation_dataset,geolocation_lng,float64
olist_geolocation_dataset,geolocation_city,str
olist_geolocation_dataset,geolocation_state,str
olist_orders_dataset,order_id,str
olist_orders_dataset,customer_id,str
olist_orders_dataset,order_status,str
olist_orders_dataset,order_purchase_timestamp,str
olist_orders_dataset,order_approved_at,str
olist_orders_dataset,order_delivered_carrier_date,str
olist_orders_dataset,order_delivered_customer_date,str
olist_orders_dataset,order_estimated_delivery_date,str
olist_order_items_dataset,order_id,str
olist_order_items_dataset,order_item_id,int64
olist_order_items_dataset,product_id,str
olist_order_items_dataset,seller_id,str
olist_order_items_dataset,shipping_limit_date,str
olist_order_items_dataset,price,float64
olist_order_items_dataset,freight_value,float64
olist_order_payments_dataset,order_id,str
olist_order_payments_dataset,payment_sequential,int64
olist_order_payments_dataset,payment_type,str
olist_order_payments_dataset,payment_installments,int64
olist_order_payments_dataset,payment_value,float64
olist_order_reviews_dataset,review_id,str
olist_order_reviews_dataset,order_id,str
olist_order_reviews_dataset,review_score,int64
olist_order_reviews_dataset,review_comment_title,str
olist_order_reviews_dataset,review_comment_message,str
olist_order_reviews_dataset,review_creation_date,str
olist_order_reviews_dataset,review_answer_timestamp,str
olist_products_dataset,product_id,str
olist_products_dataset,product_category_name,str
olist_products_dataset,product_name_lenght,float64
olist_products_dataset,product_description_lenght,float64
olist_products_dataset,product_photos_qty,float64
olist_products_dataset,product_weight_g,float64
olist_products_dataset,product_length_cm,float64
olist_products_dataset,product_height_cm,float64
olist_products_dataset,product_width_cm,float64
olist_sellers_dataset,seller_id,str
olist_sellers_dataset,seller_zip_code_prefix,int64
olist_sellers_dataset,seller_city,str
olist_sellers_dataset,seller_state,str
product_category_name_translation,product_category_name,str
product_category_name_translation,product_category_name_english,str
