table,column,min,max,mean
olist_customers_dataset,customer_zip_code_prefix,1003.0,99990.0,35137.47
olist_geolocation_dataset,geolocation_zip_code_prefix,1001.0,99990.0,36574.17
olist_geolocation_dataset,geolocation_lat,-36.6053744107061,45.06593318269697,-21.18
olist_geolocation_dataset,geolocation_lng,-101.46676644931476,121.10539381057764,-46.39
olist_order_items_dataset,order_item_id,1.0,21.0,1.2
olist_order_items_dataset,price,0.85,6735.0,120.65
olist_order_items_dataset,freight_value,0.0,409.68,19.99
olist_order_payments_dataset,payment_sequential,1.0,29.0,1.09
olist_order_payments_dataset,payment_installments,0.0,24.0,2.85
olist_order_payments_dataset,payment_value,0.0,13664.08,154.1
olist_order_reviews_dataset,review_score,1.0,5.0,4.09
olist_products_dataset,product_name_lenght,5.0,76.0,48.48
olist_products_dataset,product_description_lenght,4.0,3992.0,771.5
olist_products_dataset,product_photos_qty,1.0,20.0,2.19
olist_products_dataset,product_weight_g,0.0,40425.0,2276.47
olist_products_dataset,product_length_cm,7.0,105.0,30.82
olist_products_dataset,product_height_cm,2.0,105.0,16.94
olist_products_dataset,product_width_cm,6.0,118.0,23.2
olist_sellers_dataset,seller_zip_code_prefix,1001.0,99730.0,32291.06
